id,text,Article Title,label,Comments
1,"Saidakrami Rachabalizoda, a suspect in the deadly terrorist attack in Moscow, sits behind a glass wall of an enclosure during a court appearance on Sunday.","Live updates: Moscow, Russia, concert hall shooting attack",Y,
2,His ear was heavily bandaged.,"Live updates: Moscow, Russia, concert hall shooting attack",Y,
3,"Yulia Morozova/Reuters

Video footage and still images have appeared on Russian social media that appear to show the violent interrogation of several of the men alleged to have taken part in the deadly terror attack on a concert hall outside Moscow Friday.","Live updates: Moscow, Russia, concert hall shooting attack",Y,
4,"One video appears to show one of the suspects, Saidakrami Rachabalizoda, being held on the ground while having part of his ear cut off by a camouflage-wearing interrogator.","Live updates: Moscow, Russia, concert hall shooting attack",Y,
5,Rachabalizoda later appeared in court with a heavily bandaged ear.,"Live updates: Moscow, Russia, concert hall shooting attack",Y,
6,"The Grey Zone, a pro-Kremlin Telegram channel, published a still photograph that claims to show the electrocution of one of the detained suspects.

Margarita Simonyan, the editor-in-chief of Russian state propaganda network RT, posted a video that appears to show the interrogation of another suspect, Shamsidin Fariduni, who is shown stammering and shaking as he is questioned by interrogators off camera.","Live updates: Moscow, Russia, concert hall shooting attack",Y,
7,Fariduni subsequently appeared in court with a bruised face.,"Live updates: Moscow, Russia, concert hall shooting attack",Y,
8,"CNN asked the Kremlin about the “visible signs of violence” committed against the suspects, but spokesperson Dmitry Peskov declined to comment.","Live updates: Moscow, Russia, concert hall shooting attack",Y,
9,"CNN —

Donald Trump’s tumultuous life has been rocked by bankruptcies, personal scandals, impeachments and election wins and losses, but nothing quite compares to the personal and financial crisis facing the once-and-possibly future president this week.",Why this is a wild week for Trump even by his standards,N,
10,Trump is struggling to post a bond worth around half a billion dollars on Monday to stop the state of New York from targeting his assets following a huge fraud judgment.,Why this is a wild week for Trump even by his standards,N,
11,The situation he finds himself in threatens the empire that conjured the tycoon’s aura and assumptions of massive wealth that are critical to his self-identity and political brand.,Why this is a wild week for Trump even by his standards,Y,
12,"Video Ad Feedback CNN legal analyst breaks down Trump's half-billion-dollar bond plan 03:22 - Source: CNN

But exemplifying the roller-coaster nature of his public career, Trump is also soon poised for a massive financial windfall.",Why this is a wild week for Trump even by his standards,N,
13,A deal to take his media company public promises to add about $3 billion to his net wealth – even if it won’t ease his cash crunch in the short term.,Why this is a wild week for Trump even by his standards,Y,
14,That’s not all.,Why this is a wild week for Trump even by his standards,N,
15,"Trump may find out Monday when he will become the first ex-president to go on trial, as the judge hearing a Manhattan hush money case holds a critical hearing.",Why this is a wild week for Trump even by his standards,N,
16,"The case, related to payment to an adult film star ahead of the 2016 election, could lead to Trump being a convicted felon by November’s election.",Why this is a wild week for Trump even by his standards,N,
17,"All of this is unfolding as he battles on multiple fronts to delay and discredit three other criminal trials, all in which he’s pleaded not guilty.",Why this is a wild week for Trump even by his standards,Y,
18,He nonetheless has cemented his dominance over the Republican Party and leads President Joe Biden in some swing-state polls as he attempts the most stunning comeback in political history after he left office in disgrace after trying to steal the 2020 election.,Why this is a wild week for Trump even by his standards,Y,
19,"It’s an extraordinary collision between Trump’s personal, legal and political controversies, all of which reflect the contradictions of a unique figure who has repeatedly flirted with financial ruin and tested the law but who has an uncanny capacity to dodge, or at least delay, accountability.",Why this is a wild week for Trump even by his standards,Y,
20,"Since Trump swept aside all opposition in his triumphant sprint to his third-straight Republican nomination and has a strong chance of being the 47th president, his fortunes and fate are yet again inextricably entangled with the nation’s in a turbulent political era.",Why this is a wild week for Trump even by his standards,Y,
21,"Trump’s empire is on shaky ground

The ex-president’s most immediate threat lies in the need to post bond worth $464 million, including interest, after he, his adult sons and the Trump Organization were found to have committed massive fraud by a judge after a civil trial.",Why this is a wild week for Trump even by his standards,Y,
22,The payment is needed to allow Trump time to appeal and to head off a threat by New York Attorney General Letitia James to start going after his assets and property empire if he cannot pay up.,Why this is a wild week for Trump even by his standards,Y,
23,The saga has been a humiliating one for the ex-president since it raises questions about his claims to a huge fortune.,Why this is a wild week for Trump even by his standards,N,
24,"Trump’s lawyers have asked the appeals court judges to reduce or delay the judgment for ill-gotten gains, but they are yet to rule.",Why this is a wild week for Trump even by his standards,Y,
25,"His legal team said last week the bond amount was a “practical impossibility” for Trump, whose wealth is tied up in skyscrapers and golf resorts.",Why this is a wild week for Trump even by his standards,Y,
26,And more than 30 insurance firms declined to underwrite the bond.,Why this is a wild week for Trump even by his standards,Y,
27,Trump’s legal team has also said he shouldn’t be required to sell assets to meet the deadline since doing so would create a fire sale devastating to his business.,Why this is a wild week for Trump even by his standards,N,
28,Trump has already been forced to come up with a bond guaranteed by an insurance firm for more than $90 million as he appeals a defamation verdict delivered by a jury hearing a case against him by the writer E. Jean Carroll.,Why this is a wild week for Trump even by his standards,Y,
29,It’s possible that Trump could find a private donor or donors to help him post the payment at the eleventh hour.,Why this is a wild week for Trump even by his standards,N,
30,And it’s not inevitable that his failure to do so would prompt James to move immediately.,Why this is a wild week for Trump even by his standards,N,
31,"She could begin her asset search, for instance, by subpoenaing Trump for full details of his financial situation.",Why this is a wild week for Trump even by his standards,N,
32,"But the New York attorney general has already lodged court paperwork that suggests Trump’s Seven Springs estate and golf course in Westchester County, New York, outside Manhattan, could be among her first targets.",Why this is a wild week for Trump even by his standards,Y,
33,"As with his other outstanding legal cases, the ex-president has substituted a political defense for a legal one, claiming that he is the victim of persecution designed to keep him out of power.",Why this is a wild week for Trump even by his standards,Y,
34,"(There’s no evidence the cases, which proceeded through proper legal channels, are connected or that there is interference by the Biden White House.)",Why this is a wild week for Trump even by his standards,Y,
