,Title,Text,Source
0,CNN Business,"1. How relevant is this ad to you?

Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",https://money.cnn.com
1,Travel News,"1. How relevant is this ad to you?

Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",https://money.cnn.com
2,"Live updates: Moscow, Russia, concert hall shooting attack","Saidakrami Rachabalizoda, a suspect in the deadly terrorist attack in Moscow, sits behind a glass wall of an enclosure during a court appearance on Sunday. His ear was heavily bandaged. Yulia Morozova/Reuters

Video footage and still images have appeared on Russian social media that appear to show the violent interrogation of several of the men alleged to have taken part in the deadly terror attack on a concert hall outside Moscow Friday.

One video appears to show one of the suspects, Saidakrami Rachabalizoda, being held on the ground while having part of his ear cut off by a camouflage-wearing interrogator. Rachabalizoda later appeared in court with a heavily bandaged ear.

The Grey Zone, a pro-Kremlin Telegram channel, published a still photograph that claims to show the electrocution of one of the detained suspects.

Margarita Simonyan, the editor-in-chief of Russian state propaganda network RT, posted a video that appears to show the interrogation of another suspect, Shamsidin Fariduni, who is shown stammering and shaking as he is questioned by interrogators off camera. Fariduni subsequently appeared in court with a bruised face.

CNN asked the Kremlin about the “visible signs of violence” committed against the suspects, but spokesperson Dmitry Peskov declined to comment.",https://edition.cnn.com
3,Why this is a wild week for Trump even by his standards,"CNN —

Donald Trump’s tumultuous life has been rocked by bankruptcies, personal scandals, impeachments and election wins and losses, but nothing quite compares to the personal and financial crisis facing the once-and-possibly future president this week.

Trump is struggling to post a bond worth around half a billion dollars on Monday to stop the state of New York from targeting his assets following a huge fraud judgment. The situation he finds himself in threatens the empire that conjured the tycoon’s aura and assumptions of massive wealth that are critical to his self-identity and political brand.

Video Ad Feedback CNN legal analyst breaks down Trump's half-billion-dollar bond plan 03:22 - Source: CNN

But exemplifying the roller-coaster nature of his public career, Trump is also soon poised for a massive financial windfall. A deal to take his media company public promises to add about $3 billion to his net wealth – even if it won’t ease his cash crunch in the short term.

That’s not all. Trump may find out Monday when he will become the first ex-president to go on trial, as the judge hearing a Manhattan hush money case holds a critical hearing. The case, related to payment to an adult film star ahead of the 2016 election, could lead to Trump being a convicted felon by November’s election.

All of this is unfolding as he battles on multiple fronts to delay and discredit three other criminal trials, all in which he’s pleaded not guilty. He nonetheless has cemented his dominance over the Republican Party and leads President Joe Biden in some swing-state polls as he attempts the most stunning comeback in political history after he left office in disgrace after trying to steal the 2020 election.

It’s an extraordinary collision between Trump’s personal, legal and political controversies, all of which reflect the contradictions of a unique figure who has repeatedly flirted with financial ruin and tested the law but who has an uncanny capacity to dodge, or at least delay, accountability.

Since Trump swept aside all opposition in his triumphant sprint to his third-straight Republican nomination and has a strong chance of being the 47th president, his fortunes and fate are yet again inextricably entangled with the nation’s in a turbulent political era.

Trump’s empire is on shaky ground

The ex-president’s most immediate threat lies in the need to post bond worth $464 million, including interest, after he, his adult sons and the Trump Organization were found to have committed massive fraud by a judge after a civil trial. The payment is needed to allow Trump time to appeal and to head off a threat by New York Attorney General Letitia James to start going after his assets and property empire if he cannot pay up.

The saga has been a humiliating one for the ex-president since it raises questions about his claims to a huge fortune. Trump’s lawyers have asked the appeals court judges to reduce or delay the judgment for ill-gotten gains, but they are yet to rule. His legal team said last week the bond amount was a “practical impossibility” for Trump, whose wealth is tied up in skyscrapers and golf resorts. And more than 30 insurance firms declined to underwrite the bond.

Trump’s legal team has also said he shouldn’t be required to sell assets to meet the deadline since doing so would create a fire sale devastating to his business. Trump has already been forced to come up with a bond guaranteed by an insurance firm for more than $90 million as he appeals a defamation verdict delivered by a jury hearing a case against him by the writer E. Jean Carroll.

It’s possible that Trump could find a private donor or donors to help him post the payment at the eleventh hour. And it’s not inevitable that his failure to do so would prompt James to move immediately. She could begin her asset search, for instance, by subpoenaing Trump for full details of his financial situation. But the New York attorney general has already lodged court paperwork that suggests Trump’s Seven Springs estate and golf course in Westchester County, New York, outside Manhattan, could be among her first targets.

As with his other outstanding legal cases, the ex-president has substituted a political defense for a legal one, claiming that he is the victim of persecution designed to keep him out of power. (There’s no evidence the cases, which proceeded through proper legal channels, are connected or that there is interference by the Biden White House.) Over the weekend, Trump prepared the groundwork for a new political assault, sending out a stream of frenzied fundraising appeals – including one titled “Maniacs want to seize Trump Tower” – and claimed he was standing in the way of the government coming after his millions of grassroots supporters.

How an asset sweep might unfold

The consequences of an asset seizure could be devastating for Trump and distract from his general election campaign.

“If he can’t deliver the security, and the court doesn’t give him dispensation from having to deliver the security, then starting on Tuesday, New York Attorney General Letitia James can start trying to execute against his property, which would be broken down into three categories,” white-collar litigator Mitchell Epner said on CNN on Saturday. One category could cover cash and bank and securities accounts. A second would encompass personal property ranging from clothing to vehicles and planes. The third contains real estate.

“On that spectrum, the cash can get grabbed the most quickly; personal property will take a little bit longer. And the real estate takes the longest period of time, but that process will start on Tuesday. And once that starts, he really can’t do anything in order to stop it from happening,” Epner told Fredricka Whitfield.

Video Ad Feedback Real estate CEO says Trump could sell Mar-a-Lago 'quickly' to secure $464 million bond 01:10 - Source: CNN

The spectacle of a presumptive nominee enduring such an ordeal would be explosive and could have unpredictable political consequences. This may explain why there is no sign yet that James is targeting Trump Tower – one of the citadels of his empire – despite the ex-president’s claims over the weekend. While Trump has successfully used his four criminal indictments to solidify his support base among Republican primary voters, the country is entering unprecedented territory with a presumptive nominee facing severe financial duress as a result of a fraud judgement. The staggering array of legal threats bearing down on Trump would be oppressive for any defendant, let alone a potential president, and raises the possibility that he could further alienate the moderate Republican, independent and suburban voters who helped Biden oust him after a single term in 2020.

Trump and his supporters have argued that the verdict against him in the case is massively inflated and have accused James, a Democrat, of bias. But Judge Arthur Engoron found that the ex-president, his adult sons and the firm had for years inflated the value of their assets to get better treatment from insurance firms and banks in a way that threatened the integrity of the financial system.

On Sunday, Trump used Truth Social to lash out at the prosecutor and judge, once again conflating his legal defense with his campaign. “THESE ARE NOT THE PEOPLE THAT MADE AMERICA GREAT, THESE ARE THE PEOPLE THAT ARE DESTROYING AMERICA!” Trump wrote.

The White House has done its best not to comment on the case, to avoid giving Trump more political ammunition. But some leading Democrats argue he’s now finding out that the law does not favor the rich and famous. “It is my belief that all people should be treated equally under the law,” Rep. Alexandria Ocasio-Cortez said on CNN’s “State of the Union” on Sunday. The New York Democrat added: “And if that seizure of assets would be pursued to any other American, then Donald Trump should be treated the same.”

Trump awaits a massive financial boost – on paper, at least

Despite his money woes in New York, Trump could get a massive boost as early as Tuesday when a merger closes between Trump Media and Technology Group and Digital World Acquisition Corp., a shell company.

The former president will not be able to turn around and use his new wealth on paper to finance his bond, however, since he’s restricted from selling his shares for six months – and if he does so eventually, the value of the securities could plummet. There are also long-term concerns about the prospects of the firm, which is minuscule compared with social media giants such as X or Facebook.

Still, the merger agreement calls for Trump to own roughly 79 million shares of the new public company – and potentially tens of millions more if certain goals are hit. At times last week, Digital World was trading at around $43, although it eventually fell back. But Trump’s stake could be in the region of $3 billion, at least initially.

Only Trump could face a potentially existential threat to his financial security and his firm while at the same time getting a potential $3 billion windfall.

Monday could have been far worse for Trump, as it was the original date set for the debut of the hush money trial. But Judge Juan Merchan delayed proceedings until at least the middle of next month after more than 100,000 documents were turned over by the US attorney for the Southern District of New York related to the prosecution of Michael Cohen, Trump’s former lawyer, who is a key witness in the case.

The former president’s attorneys are now calling for a delay of 90 days or even a dismissal of the 34 counts of falsifying business records. Merchan could indicate on Monday whether the delay he has already put in place is sufficient to allow the trial to move ahead.

Trump has portrayed the case in the same way as all the others – as an attempt to keep him out of the White House. The former president has also pleaded not guilty in three other criminal cases – two over his attempt to overturn the 2020 election and one concerning the classified documents found at his Mar-a-Lago resort after he left the White House.

Some legal analysts, meanwhile, argue the Manhattan trial is the least threatening criminal case to Trump since it is unlikely to lead to jail time, even if he is found guilty. And since the alleged criminality in question dates to before the 2016 election, there’s also an argument that its impact on a general election eight years later could be limited.

But America has never seen an ex-president go on trial for anything – let alone months from the date when he will ask voters for a second term.

The only certainty about Trump is that he never stops shattering precedent.",https://edition.cnn.com
4,Water trickling and taps running dry are part of daily life in South Africa’s biggest city,"Johannesburg CNN —

When Duane Riley turns on his taps, they shudder loudly from the air flowing through the pipes. There’s often no water trickling at all.

It’s ironic, because Johannesburg, South Africa’s biggest city, has plenty of water at the moment — authorities and water companies just can’t seem to get it to where it’s needed.

“There have been times where we’ve had no water, but I’ve had a river gushing down my driveway, because there was a leak at the top of our street,” Riley told CNN. It took authorities 14 days to fix it, he said.

Joburgers — as residents here call themselves — are no strangers to water scarcity. South Africa is naturally dry, and the climate crisis has hit the nation many times with crippling drought.

Johannesburg is one of many of the world’s big cities that are dealing with a perfect storm of crumbling critical infrastructure, lack of maintenance, corruption and insufficient planning for population growth.

While drought can hurt the city’s reservoirs, the dams are currently full, authorities say. But climate change is making things worse in another way — officials say a weeks-long heat wave is boosting water demand in enormous volumes. In February, Southern Africa saw temperatures of 4 to 5 degrees Celsius (around 7 to 9 degrees Fahrenheit) above average.

At around 9 p.m., Riley’s home typically loses water until around six in the morning.

“But there have been multiple times where we’ve been without water for five, seven days,” he said.

It’s impacting many parts of the city, from the wealthy northern suburbs to parts of the largest township, Soweto. In both places, people have been forced to collect water in buckets from wherever they can.

Two months out from an election, authorities are blaming the latest shortages on a lightning strike on a pumping station, and also pointing to the heat wave.

But locals are no longer buying the excuses.

“The heat wave we’ve been battling for two weeks. But we’ve been dealing with this long, long before that,” says Riley, who lives in Kensington, a hilly suburb east of the city. He says the battle has been going on for about a year.

“They are just grabbing at straws trying to save face, and whatever excuse they can find to not really reflect the biggest issue,” added Riley. That issue, he said, is maintenance.

Riley recently organized two protests against the lack of basic services, including water and electricity supply, in his area, which hundreds of people attended.

Ravin Singh founded the Water Crisis Committee civic group last September, after his neighborhood northeast of downtown Johannesburg was suddenly hit with prolonged outages.

He’s had periods of more than a week without water. “The current situation is that we have water for parts of the day,” he said.

Residents hold placards during a protest against water shortages in the Blairgowrie area of Johannesburg on March 12, 2024. Wikus de Wet/AFP/Getty Images

For some who do get water, it often comes at a trickle, with low to no pressure at all, Singh says.

“Young families are able to cope, although it impacts on their work [and] life. They have to change the patterns of when they bathe, when they cook, those kinds of things,” he said. “But people in old-age homes, for example, it’s very difficult.”

Singh says in the seven or eight months since the problems began in his area, he’s only seen a water tanker to provide emergency supplies around three times. And it’s difficult for the elderly to walk and carry water home.

On Wednesday, Senzo Mchunu, the government minister for Water and Sanitation, urged the City of Johannesburg to work on its turnaround time in responding to pipe bursts and leaks “as this is what is contributing to the high physical water losses.” In a statement, Mchunu said “it was clear” the city “requires serious interventions and funding to deal with its water infrastructure renewal program.”

Johannesburg Water said in a statement Wednesday that its systems were “steadily improving and stabilising” after the trouble over the past two or so weeks. The company called on residents and businesses to help cut water use by 10%, requesting people fix leaks on their properties, take shorter showers and collect rainwater for outdoor use.

This is a message it has been urged to pass on by the area’s supplier, Rand Water. In a statement on March 18, Rand Water said the metro areas of Ekurhuleni and Johannesburg must reduce their water consumption to avert interrupted supply.

Johannesburg’s reservoirs have long struggled with fluctuating levels, affected by natural events and high consumption. In September last year, authorities warned the city’s reservoirs and water towers were “critically low to empty” following a thunderstorm that caused a power failure at a treatment plant.

Because many reservoirs are powered by electric pumps, high levels of scheduled power outages, or “load shedding” as it’s known in South Africa, have also cause low water levels at reservoirs. Now Joburgers also talk about “water shedding.”

But Singh concedes that people could be doing more to lower water consumption, voluntarily.

“I think it’s important, even if we didn’t have this crisis, we need to remind citizens that we live in a water-scarce country,” he said. “And we need to cut consumption.”

If behaviors do not change, and maintenance and modernization of the water system are not taken seriously, Johannesburg could find itself in an even bleaker situation.

It doesn’t need to look far to see what that future could be: Only two years ago, the South African city of Cape Town was counting down to “Day Zero,” the day all taps would run dry. It averted that crisis. Now Joburgers are wondering if their city can do the same.",https://edition.cnn.com
5,"Laurent de Brunhoff, ‘Babar the Elephant’ author, dies aged 98","CNN —

Writer and illustrator Laurent de Brunhoff, who continued his father’s legacy by producing dozens of original books for his “Babar the Elephant” series, has died aged 98.

De Brunhoff died at his home in Key West, Florida on Friday following a recent stroke, his wife, the critic and author Phyllis Rose, told CNN via email.

A citizen of both France and the US, de Brunhoff published more than 40 books featuring Babar, an impeccably well-dressed elephant dreamed up by his mother, Cécile, and brought to life by his illustrator father, Jean, in the 1930s.

“The start — (the) very start of Babar — was a bed(time) story from my mother,” de Brunhoff told CNN in an interview, aired in 2003. “And my brother and I loved the story. We went to my father’s studio and told him about it. He started to make a book for us. After the first book he made another one and another one. And he just discovered himself, I think.”

De Brunhoff was just 12 when his father died of tuberculosis, in 1937, having published five books for the series. These early titles see the green-suited Babar leave the jungle for Paris when his mother is shot by a hunter, before embarking on various adventures and being crowned king of the elephants.

A further two of his father’s books were published posthumously — and a then-teenage de Brunhoff colored and designed a cover illustration for the seventh and last of his Babar titles.

Sharing his father’s gift for illustration, de Brunhoff studied at the Académie de la Grande Chaumière art school in the French capital and worked as an abstract painter. In 1946, at the age of 21, he revived Babar with the first of his own books, “Babar’s Cousin: That Rascal Arthur.”

“I wanted Babar to live again,” he told CNN in 2003.

Global phenomenon

In the decades after his father’s death, de Brunhoff introduced new characters and storylines, helping popularize the series and bring it to a global audience. His original tales saw Babar traveling around the world with his family, learning how to cook, taking up yoga and even visiting an alien planet. His most recent book for the series, “Babar’s Guide to Paris,” was published in 2017, more than 70 years after he first revived the character.

Children's author and illustrator Laurent de Brunhoff working at his home during a BBC television interview in 1969. Malcolm Winton/Radio Times/Getty Images

Despite capturing the imagination of generations of children, the series has been accused of being an allegory of — and justification for — French colonialism. Some of Jean de Brunhoff’s original illustrations and storylines have meanwhile been criticized for employing racist stereotypes.

In the 1980s, Chilean author Ariel Dorfman argued that Babar’s story — including his adoption of human clothes and mannerisms, and the subsequent depictions of him bringing the benefits of human civilization back to the jungle — represented the “fulfillment of the dominant countries’ colonial dream.”

“Babar slips progress into the jungle without upsetting the ecological balance, because (Jean) de Brunhoff omits all the plundering, racism, underdevelopment and misery from his story of the relationship between the two worlds,” Dorfman wrote in his 1983 book, “The Empire’s Old Clothes: What the Lone Ranger, Babar, and Other Innocent Heroes Do to Our Minds.”

When asked about Dorfman’s critique by National Geographic in 2014, de Brunhoff appeared to accept the idea that the series perpetuated myths about French colonialism.

“I think it’s right. Absolutely,” he told the magazine. “In some way, it’s a little embarrassing to see Babar fighting with Black people in Africa. My second book, ‘Babar’s Picnic,’ was also inspired by my father’s drawing. Some years later, I felt embarrassed about this book, and I asked the publisher to withdraw it.”

The series has been translated into numerous languages, and Babar was also adapted for TV on several occasions, beginning with a production for NBC in the late 1960s. A later series, “Babar,” premiered in 1989 on CBC in Canada and HBO in the US (HBO is owned by CNN’s parent company, Warner Bros. Discovery), while the more recent “Babar and the Adventures of Badou” aired on various channels globally, including Disney Junior, between 2010 and 2015.

Tributes to de Brunhoff flooded in over the weekend following news of his death. Writing to X, formerly Twitter, the Oscar-nominated writer, director and actor Whit Stillman described his Babar books as “exquisitely beautiful and charming.”

New York’s Mary Ryan Gallery, which represented de Brunhoff’s illustrations, said on Instagram that the writer and illustrator’s “love for Babar, his art and family story have touched millions across the globe.”",https://edition.cnn.com
6,Shohei Ohtani set to speak Monday as theft allegations against his interpreter spur investigation,"CNN —

Los Angeles Dodgers superstar Shohei Ohtani is expected to address the media Monday as Major League Baseball investigates allegations of theft against his longtime interpreter.

“I’m happy he’s going to speak – speak to what he knows and give his thoughts on the whole situation,” Dodgers manager Dave Roberts told reporters Sunday. “I think it’ll give us a little bit more clarity.”

Will Ireton, a Dodgers employee, will serve as Ohtani’s interpreter, Roberts said.

The allegations came to light last week when Ohtani’s Japanese interpreter, Ippei Mizuhara, was fired after Ohtani’s lawyers accused him of “massive theft” of millions of dollars and placing bets with a bookmaker under federal investigation, according to ESPN and the Los Angeles Times, which first reported the story.

Ohtani signed an unparalleled 10-year, $700 million deal with the Dodgers this offseason.

Ohtani, who doesn’t speak often with reporters, has not spoken publicly since Mizuhara’s firing.

The scandal has threatened to overshadow the start of MLB’s Opening Day on Thursday, challenged the public’s understanding of one of baseball’s biggest stars, and brought renewed scrutiny to professional sports’ closeness with gambling.

The MLB and the Internal Revenue Service are separately investigating Mizuhara.

“Major League Baseball has been gathering information since we learned about the allegations involving Shohei Ohtani and Ippei Mizuhara from the news media,” the league said in a news release last week. “Earlier today, our Department of Investigations began their formal process investigating the matter.”

The IRS Criminal Investigation Los Angeles Field Office is investigating both Mizuhara and Mathew Bowyer, IRS spokesman Scott Villiard told CNN on Friday.

Bowyer, a former bookmaker, is a California resident who bankruptcy court documents show had gambling debts of $425,000 more than a decade ago.

Ohtani and Mizuhara first worked together from 2013 to 2017 when Mizuhara served as a translator for the Nippon-Ham Fighters, Ohtani’s team with Japan’s Nippon Professional Baseball League, according to MLB.com. When Ohtani joined the Los Angeles Angels in 2018, he asked Mizuhara to join him as his translator in his rookie season, and Mizuhara eventually followed the star to the Dodgers, CNN previously reported.

ESPN’s Tisha Thompson, citing multiple unnamed sources, said on CNN’s “The Lead” Wednesday at least $4.5 million was withdrawn via wire transfer from Ohtani’s bank accounts, though it is unclear who initiated the transfers.

CNN has sought comment from Mizuhara and Ohtani’s agent. Ohtani’s attorneys have not detailed how they believe the funds were stolen, fueling questions about the scandal that emerged as Ohtani made his much-anticipated debut with the Los Angeles Dodgers.

Bookie’s attorney speaks to CNN

Video Ad Feedback MLB launches investigation into Ohtani allegations 03:03 - Source: CNN

An attorney for Bowyer, the former bookmaker under federal investigation related to gambling, said he never met or had “any direct contact” with Ohtani but did do business with Mizuhara.

“Mathew Bowyer never spoke with or emailed with or texted with or had any contact whatsoever with Shohei Ohtani,” the attorney, Diane Bass told CNN in an on-camera interview on Saturday.

The attorney also said Ohtani’s interpreter never bet on baseball.

When discussing Ohtani’s name on “one of the wire transfers to Bowyer’s organization to cover a bet,” Bass said Saturday, “as far as Mr. Bowyer understood, the bet was from Ippei, or it was being covered by Mr. Ohtani for Ippei.”

Bass emphasized while Bowyer is under federal investigation, he has not been charged with a crime. She said Bowyer stopped his bookmaking operation in October 2023 when “feds showed up at his house.”

Bowyer met Mizuhara after a Padres game in San Diego in 2022, according to Bass. She told CNN she does not know how often Mizuhara placed bets or how much he bet, but said Bowyer told her Mizuhara placed bets regularly on “primarily soccer, occasionally football and basketball, but it was never baseball.”

Mizuhara told ESPN last Tuesday, “I never bet on baseball … That’s 100 percent. I knew that rule. … We have a meeting about that in spring training.”

Bass said Mizuhara’s gambling “got out of hand at a certain point,” but “he was making regular payments for a significant amount of time.”

Asked if the payments were coming from Mizuhara’s or Ohtani’s account, Bass replied, “I honestly don’t know how many transfers came from which account(s), (or) whether it was more than one account. I don’t have access to that information,” she told CNN.

Shifting explanations and statements

The saga began with reporters asking questions about alleged wire transfers from Ohtani’s bank account. Here’s how the scandal unfolded:

• Mizuhara told ESPN in a Tuesday interview, arranged by Ohtani’s representative, he asked Ohtani last year to pay off his gambling debt, ESPN reported. Ohtani had no involvement in his betting, Mizuhara said.

• But after the interview, Ohtani’s spokesperson “disavowed” Mizuhara’s account, then released a statement saying Ohtani had been the victim of theft.

• On the same day, Mizuhara was seen smiling in the LA dugout and talking to Ohtani before translating for the star in the team’s 5-2 win over the San Diego Padres in the MLB season-opening game in Seoul, South Korea, on Wednesday.

• Later Wednesday, Mizuhara was fired as Ohtani’s interpreter.

• After learning about the allegations against Ohtani and Mizuhara, MLB on Friday announced it would be pursuing an investigation. The IRS also confirmed it was investigating the translator.

CNN’s Eric Levenson contributed to this report.",https://edition.cnn.com
7,Paris waiters compete in race to get a coffee and croissant across the capital,"Paris CNN —

The army of waiters who are the lifeblood of the French capital’s many cafés often get a bad rap, accused of everything from being unable to crack a smile to being downright rude and impatient to their customers.

But the “garçons de café” of Paris are undoubtedly professionals. They can remember the orders of eight people without taking notes. They can carry all the dishes and drinks in one go. And they can manage a busy lunch rush without breaking a sweat – and still find time for a quick cigarette break.

Those professional skills (minus the smoking) were on display in full force on Sunday when Paris staged the Course des Cafés, marking the revival of a once-annual event that challenges waiters to race a two-kilometer route (1.2 miles) while carrying a tray laden with a cup of coffee, a glass of water and a croissant.

Two hundred of the crème de la crème of the city’s cafes, classically attired in black pants or skirt, apron and a white top, took to the streets and alleys of central Paris to compete in the event and entertain the crowds.

To win the race, participants not only needed to be quick but also careful. Any change to the composition of their tray would impact their final score. Absolutely no spillage was permitted. And, as the Paris city government jokingly pointed out, no eating either!

The strict requirements meant the event was less of a run and more of a speed walk.

“I tried holding the tray, it’s pretty heavy!” Paris Mayor Anne Hidalgo told journalists shortly before the race started.

“You need to walk fast, but not too fast,” one female contestant told local radio station France Bleu.

Once underway, there were inevitable calamities. Water spilled, cups fell. One contestant shouted, “I can’t feel my fingers!”

There were gasps, cheers and laughter from the thousands of Parisians who decided to fight the early spring chill to watch the return of this quintessential French event, which was canceled 12 years ago due to budget constraints.

Waiters start the Course des Cafes race on March 24, 2024. Dimitar Dilkoff/AFP/Getty Images

‘Excellence of French service’

It’s been revived to promote sport and “the excellence of French service” as the country gets ready to host the 2024 Summer Olympic and Paralympic Games, the Paris city government said in a statement earlier this year.

Several city officials also participated in the race, including the mayor of central Paris, Ariel Weil and the two deputy mayors of Paris in charge of Olympic affairs and business, Pierre Rabadan and Nicolas Bonnet Oulaldj.

The “Course des Garçons de Café” (cafe waiters race) was first launched in 1914 to highlight the cafés and restaurants of the French capital, according to French historian Laurent Bihl.

Throughout the years, it found popularity not only in Paris but across France in cities such as Nice, Belfort and Calais.

Across the English Channel, many towns in the UK have also adopted this race but added a little bit of local flavor – the coffee and croissant have been switched out for a pint of beer. Variations have also been staged in cities as far away as Hong Kong and Yokohama.

Back on the streets of Paris, the quickest entrants completed Sunday’s Course des Cafés race – the name of the revived version has been shortened, dropping the ‘garçons’ – in less than 14 minutes.

In the end, Pauline Van Wymeersch from the Café le Petit Pont and Samy Lamrous from La Contrescarpe were crowned the fastest woman and man.

They both won tickets to the Olympic opening ceremony this summer – and perhaps some newfound respect from those customers cursing about the time it takes to order up a coffee, croissant and a glass of water.",https://edition.cnn.com
8,Israel cancels Washington visit after US allows UN Gaza ceasefire resolution to pass,"CNN —

Tensions between the US and Israel were exposed on Monday when Washington stood aside and allowed the UN Security Council to pass a resolution calling for an immediate ceasefire in Gaza.

The US decision to abstain on the vote prompted Israel’s Prime Minister Benjamin Netanyahu to cancel a scheduled trip to the US by two of his top advisers, two Israeli officials said.

The US had previously vetoed similar resolutions calling for a ceasefire. Its position evolved last week when on Friday, it put forward a ceasefire resolution tied tied to the release of hostages. That resolution fell when it was vetoed by Russia and China. The US abstention on Monday’s vote allowed the latest resolution to pass, when the other 14 members of the 15-strong council voted yes.

The US Ambassador to the United Nations Linda Thomas-Greenfield said that while the latest resolution included edits requested by the US, Washington could not vote yes because it “did not agree with everything.”

“A ceasefire could have come about months ago if Hamas had been willing to release hostages,” the ambassador said, calling on members states and the UNSC to demand that Hamas “accepts the deal on the table.”

“Any ceasefire must come with the release of all hostages,” she added.

The resolution, put forward by the 10 non-permanent members of the Security Council, demands an immediate ceasefire for the month of Ramadan, the immediate and unconditional release of hostages and “the urgent need to expand the flow” of aid into Gaza.

UN Secretary-General António Guterres said a failure to implement the resolution would be “unforgivable.”

“The Security Council just approved a long-awaited resolution on Gaza, demanding an immediate ceasefire, and the immediate and unconditional release of all hostages.

This resolution must be implemented. Failure would be unforgivable,” Guterres wrote on X, previously known as Twitter.

The UN vote on Monday came as tensions grow over a looming Israeli military operation in Gaza’s southern city of Rafah. The US has been calling on Israel to explain how it will protect the 1.4 million Palestinians seeking refuge there ahead of the expected incursion, which the US said “would be a mistake.”

Israel’s national security adviser Tzachi Hanegbi and Ron Dermer, a member of the war cabinet and close adviser to Netanyahu, had been scheduled to travel to Washington on Monday night to discuss the offensive and US alternatives, but the visit was canceled after the vote.

National Security spokesman John Kirby offered a fuller response to Netanyahu’s decision to cancel the delegation, saying the US was disappointed by the decision to cancel the trip.

“We’re very disappointed that they will not be coming to Washington, DC, to allow us to have a fulsome conversation with them about viable alternatives to going in on the ground in Rafah,” he said.

Separately, Israel agreed to a US proposal on a prisoner-hostage deal, according to CNN analyst Barak Ravid’s reporting on the recent round of talks in Doha. The reported deal could see the release of around 700 Palestinian prisoners, among them 100 serving life sentences for killing Israeli nationals, in exchange for the release of 40 Israeli hostages held by Hamas in Gaza.

However, Hamas said more issues remain unresolved beyond the release of Palestinian prisoners from Israeli jails. Hamas senior officials Basem Naeim told CNN that “Israeli-American media” was adding pressure on the talks.

“For us, the negotiations are not only centric around the prisoner exchange deal,” he said.

“Israel has not agreed to any of [Hamas] requests related to a complete ceasefire, the withdrawal of all forces from the Gaza Strip, even in stages, and the return of all displaced people to their homes,” Naeim said.",https://edition.cnn.com
9,Israel agrees to US proposal on prisoner-hostage deal but Hamas says some issues remain unresolved,"CNN —

Israel has agreed to a US proposal on a prisoner-hostage exchange that would release around 700 Palestinian prisoners, among them 100 serving life sentences for killing Israelis, in exchange for the release of 40 Israeli hostages held by Hamas in Gaza, according to CNN analyst Barak Ravid’s reporting on the recent round of talks in Doha, Qatar.

CNN affiliate Channel 11 (Kan News) on Sunday also reported on Israel’s agreement to the US prisoner-hostage exchange proposal. Kan News cited a senior Israeli official, saying that Israel is ready to make “significant compromises in order to return the abductees home.”

Earlier in the weekend, Ravid, citing an unnamed Israeli official, tweeted that Israel agreed to a US “bridging proposal” on the number of Palestinian prisoners to be released for every hostage held by Hamas.

A diplomatic source briefed on the matter confirmed to CNN the accuracy of Ravid’s information Saturday but said outstanding issues remain, including the entry of aid and “Israeli military repositioning” in Gaza.

CNN has reached out to Israeli officials on the status of the talks.

Israel agreed to the proposal put forth by CIA Director Bill Burns, according to Ravid. Burns was in Doha, where Hamas and Israel are engaged in talks through mediators.

Hamas’ response could take one to three days, according to Ravid, who said he has spoken to Israeli officials.

“Those details need to go from Hamas representatives in Doha, who are negotiating, to the person who really calls the shots, and this is Hamas leader Yahya Sinwar in Gaza, who is in a bunker some 100 feet under the ground, so this takes a long time,” Ravid told Omar Jimenez on “CNN Newsroom” on Sunday.

Ravid said the proposed exchange will “definitely include some” American hostages, because it will include the release of men over age 50.

‘Pressure’ on talks

Hamas pushed back against the reports, with senior officials Basem Naeim and Hussam Badran separately playing down the potential for a breakthrough.

Naeim told CNN that “Israeli-American media” was increasing the pressure on the talks.

“For us, the negotiations are not only centered around the prisoner exchange deal,” he said. “Israel has not agreed to any of (Hamas’) requests related to a complete ceasefire, the withdrawal of all forces from the Gaza Strip, even in stages, and the return of all displaced people to their homes.”

Badran said on Hamas’ Telegram page that Israel is refusing to give “any guarantees to mediators on basic issues” related to the “lives of people in Gaza.”

“We… are negotiating to reach a clear and specific goal related to the needs and requirements of our people in general and Gaza in particular,” he said.

Hamas’ latest proposal this month demanded that some 700 to 1,000 Palestinian prisoners be released. Israel at the time described the demands as “ridiculous” and “absurd.”

An agreement, if it happens, is expected to have multiple phases. In the first stage, Hamas has proposed releasing the hostages who are women – including Israeli soldiers – elderly, sick and wounded. That number is believed to be roughly 40 out of the around 100 hostages who remain alive.

This story and headline have been updated with additional developments.",https://edition.cnn.com
